Scanning MTD dataset for themes with max 15 notes...
This may take a moment...

  Processed 500/2067 files...  Processed 1000/2067 files...  Processed 1500/2067 files...  Processed 2000/2067 files...

Found 639 themes with max 15 notes:

   1. MTD0262 | Bach - BWV1001-02                                            |  9 notes
   2. MTD0263 | Bach - BWV1001-03                                            | 13 notes
   3. MTD0266 | Bach - BWV1003-02                                            |  9 notes
   4. MTD0267 | Bach - BWV1003-03                                            | 15 notes
   5. MTD0420 | Bach - Fugue No 16                                           | 12 notes
   6. MTD0440 | Bach - Fugue No 2                                            | 14 notes
   7. MTD0477 | Bach - Fugue No 20                                           | 12 notes
   8. MTD0434 | Bach - Fugue No 23                                           | 14 notes
   9. MTD0483 | Bach - Fugue No 23                                           | 12 notes
  10. MTD0443 | Bach - Fugue No 3                                            | 13 notes
  11. MTD0396 | Bach - Fugue No 4                                            | 12 notes
  12. MTD0447 | Bach - Fugue No 5                                            | 14 notes
  13. MTD0404 | Bach - Fugue No 8                                            | 15 notes
  14. MTD0453 | Bach - Fugue No 8                                            | 15 notes
  15. MTD0242 | Bach - Partita: Sarabande                                    | 15 notes
  16. MTD0423 | Bach - Prelude No 18                                         | 13 notes
  17. MTD0478 | Bach - Prelude No 21                                         | 15 notes
  18. MTD0480 | Bach - Prelude No 22                                         | 12 notes
  19. MTD0169 | Bach - Violin Concert in A minor                             | 15 notes
  20. MTD0578 | Bartok - Sz040-01                                            | 14 notes
  21. MTD0579 | Bartok - Sz040-02                                            | 13 notes
  22. MTD0580 | Bartok - Sz040-02                                            | 14 notes
  23. MTD0581 | Bartok - Sz040-02                                            | 12 notes
  24. MTD0553 | Bartok - Sz049                                               | 10 notes
  25. MTD0585 | Bartok - Sz067-01                                            | 11 notes
  26. MTD0588 | Bartok - Sz067-02                                            | 10 notes
  27. MTD0589 | Bartok - Sz067-03                                            |  9 notes
  28. MTD0590 | Bartok - Sz067-03                                            | 15 notes
  29. MTD0577 | Bartok - Sz097-02                                            | 14 notes
  30. MTD0560 | Bartok - Sz112-03                                            | 14 notes
  31. MTD0561 | Bartok - Sz112-03                                            | 11 notes
  32. MTD1149 | Beethoven - Gassenhauer-Trio                                 | 10 notes
  33. MTD0880 | Beethoven - Moonlight Sonata                                 | 12 notes
  34. MTD0881 | Beethoven - Moonlight Sonata                                 | 11 notes
  35. MTD1152 | Beethoven - Op001No3-01                                      | 14 notes
  36. MTD1155 | Beethoven - Op001No3-02                                      | 10 notes
  37. MTD1157 | Beethoven - Op001No3-03                                      |  9 notes
  38. MTD1158 | Beethoven - Op001No3-04                                      | 14 notes
  39. MTD1159 | Beethoven - Op001No3-04                                      | 15 notes
